ZIP,TERMINAL,SERVICEOUTBOUND,DAYSOUTBOUND,SERVICEINBOUND,DAYSINBOUND
2777,MA001,D,3,D,3
2779,MA001,D,3,D,3
2780,MA001,D,3,D,3
2790,MA001,D,3,D,3
2791,MA001,D,3,D,3
2801,MA001,D,3,D,3
2802,MA001,D,3,D,3
2804,MA001,D,4,D,4
2806,MA001,D,3,D,3
2807,MA001,D,8,D,8
2808,MA001,D,4,D,4
2809,MA001,D,3,D,3
2812,MA001,D,4,D,4
2813,MA001,D,4,D,4
2814,MA001,D,3,D,3
2815,MA001,D,3,D,3
2816,MA001,D,3,D,3
2817,MA001,D,3,D,3
2818,MA001,D,3,D,3
2822,MA001,D,3,D,3
2823,MA001,D,3,D,3
2824,MA001,D,3,D,3
2825,MA001,D,3,D,3
2826,MA001,D,3,D,3
2827,MA001,D,3,D,3
2828,MA001,D,3,D,3
2829,MA001,D,3,D,3
2830,MA001,D,3,D,3
2831,MA001,D,3,D,3
2832,MA001,D,4,D,4
2833,MA001,D,4,D,4
2835,MA001,D,3,D,3
2836,MA001,D,4,D,4
2837,MA001,D,3,D,3
2838,MA001,D,3,D,3
2839,MA001,D,3,D,3
2840,MA001,D,3,D,3
2841,MA001,D,3,D,3
2842,MA001,D,3,D,3
2852,MA001,D,3,D,3
2857,MA001,D,3,D,3
2858,MA001,D,3,D,3
2859,MA001,D,3,D,3
2860,MA001,D,3,D,3
2861,MA001,D,3,D,3
2862,MA001,D,8,D,8
2863,MA001,D,3,D,3
2864,MA001,D,3,D,3
2865,MA001,D,3,D,3
2871,MA001,D,3,D,3
2872,MA001,D,3,D,3
2873,MA001,D,4,D,4
2874,MA001,D,4,D,4
2875,MA001,D,4,D,4
2876,MA001,D,3,D,3
2877,MA001,D,3,D,3
2878,MA001,D,3,D,3
2879,MA001,D,4,D,4
2880,MA001,D,4,D,4
2881,MA001,D,4,D,4
2882,MA001,D,4,D,4
2883,MA001,D,8,D,8
2885,MA001,D,3,D,3
2886,MA001,D,3,D,3
2887,MA001,D,8,D,8
2888,MA001,D,3,D,3
2889,MA001,D,3,D,3
2891,MA001,D,4,D,4
2892,MA001,D,4,D,4
2893,MA001,D,3,D,3
2894,MA001,D,4,D,4
2895,MA001,D,3,D,3
2896,MA001,D,3,D,3
2898,MA001,D,4,D,4
2901,MA001,D,8,D,8
2902,MA001,D,3,D,3
2903,MA001,D,3,D,3
2904,MA001,D,3,D,3
2905,MA001,D,3,D,3
2906,MA001,D,3,D,3
2907,MA001,D,3,D,3
2908,MA001,D,3,D,3
2909,MA001,D,3,D,3
2910,MA001,D,3,D,3
2911,MA001,D,3,D,3
2912,MA001,D,3,D,3
2914,MA001,D,3,D,3
2915,MA001,D,3,D,3
2916,MA001,D,3,D,3
2917,MA001,D,3,D,3
2918,MA001,D,3,D,3
2919,MA001,D,3,D,3
2920,MA001,D,3,D,3
2921,MA001,D,3,D,3
2940,MA001,D,8,D,8
3031,MA001,D,4,D,4
3032,MA001,D,4,D,4
3033,MA001,D,4,D,4
3034,MA001,D,4,D,4
3036,MA001,D,4,D,4
3037,MA001,D,4,D,4
3038,MA001,D,4,D,4
3040,MA001,D,4,D,4
3041,MA001,D,4,D,4
3042,MA001,D,4,D,4
3043,MA001,D,4,D,4
3044,MA001,D,4,D,4
3045,MA001,D,4,D,4
3046,MA001,D,4,D,4
3047,MA001,D,4,D,4
3048,MA001,D,4,D,4
3049,MA001,D,4,D,4
3051,MA001,D,4,D,4
3052,MA001,D,4,D,4
3053,MA001,D,4,D,4
3054,MA001,D,4,D,4
3055,MA001,D,4,D,4
3057,MA001,D,4,D,4
3060,MA001,D,4,D,4
3061,MA001,D,8,D,8
3062,MA001,D,4,D,4
3063,MA001,D,4,D,4
3064,MA001,D,4,D,4
3070,MA001,D,4,D,4
3071,MA001,D,4,D,4
3073,MA001,D,4,D,4
3076,MA001,D,4,D,4
3077,MA001,D,4,D,4
3079,MA001,D,4,D,4
3082,MA001,D,4,D,4
3084,MA001,D,4,D,4
3086,MA001,D,4,D,4
3087,MA001,D,4,D,4
3101,MA001,D,4,D,4
3102,MA001,D,4,D,4
3103,MA001,D,4,D,4
3104,MA001,D,4,D,4
3105,MA001,D,8,D,8
3106,MA001,D,4,D,4
3108,MA001,D,8,D,8
3109,MA001,D,4,D,4
3110,MA001,D,4,D,4
3111,MA001,D,4,D,4
3215,MA001,D,8,D,8
3216,MA001,D,4,D,4
3217,MA001,D,4,D,4
3218,MA001,D,4,D,4
3220,MA001,D,4,D,4
3221,MA001,D,4,D,4
3222,MA001,D,4,D,4
3223,MA001,D,8,D,8
3224,MA001,D,4,D,4
3225,MA001,D,4,D,4
3226,MA001,D,4,D,4
3227,MA001,D,8,D,8
3229,MA001,D,4,D,4
3230,MA001,D,4,D,4
3231,MA001,D,4,D,4
3233,MA001,D,4,D,4
3234,MA001,D,4,D,4
3235,MA001,D,4,D,4
3237,MA001,D,4,D,4
3238,MA001,D,8,D,8
3240,MA001,D,4,D,4
3241,MA001,D,4,D,4
3242,MA001,D,4,D,4
3243,MA001,D,4,D,4
3244,MA001,D,4,D,4
3245,MA001,D,4,D,4
3246,MA001,D,4,D,4
3247,MA001,D,4,D,4
3249,MA001,D,4,D,4
3251,MA001,D,8,D,8
3252,MA001,D,4,D,4
3253,MA001,D,4,D,4
3254,MA001,D,4,D,4
3255,MA001,D,4,D,4
3256,MA001,D,4,D,4
3257,MA001,D,4,D,4
3258,MA001,D,4,D,4
3259,MA001,D,8,D,8
3260,MA001,D,4,D,4
3261,MA001,D,4,D,4
3262,MA001,D,8,D,8
3263,MA001,D,4,D,4
3264,MA001,D,4,D,4
3266,MA001,D,8,D,8
3268,MA001,D,4,D,4
3269,MA001,D,4,D,4
3272,MA001,D,4,D,4
3273,MA001,D,4,D,4
3275,MA001,D,4,D,4
3276,MA001,D,4,D,4
3278,MA001,D,4,D,4
3279,MA001,D,8,D,8
3280,MA001,D,4,D,4
3281,MA001,D,4,D,4
3282,MA001,D,8,D,8
3284,MA001,D,4,D,4
3285,MA001,D,8,D,8
3287,MA001,D,4,D,4
3289,MA001,D,4,D,4
3290,MA001,D,4,D,4
3291,MA001,D,4,D,4
3293,MA001,D,8,D,8
3299,MA001,D,4,D,4
3301,MA001,D,4,D,4
3302,MA001,D,8,D,8
3303,MA001,D,4,D,4
3304,MA001,D,4,D,4
3305,MA001,D,4,D,4
3307,MA001,D,4,D,4
3431,MA001,D,4,D,4
3435,MA001,D,4,D,4
3440,MA001,D,4,D,4
3441,MA001,D,4,D,4
3442,MA001,D,4,D,4
3443,MA001,D,4,D,4
3444,MA001,D,4,D,4
3445,MA001,D,4,D,4
3446,MA001,D,4,D,4
3447,MA001,D,4,D,4
3448,MA001,D,4,D,4
3449,MA001,D,4,D,4
3450,MA001,D,4,D,4
3451,MA001,D,4,D,4
3452,MA001,D,4,D,4
3455,MA001,D,4,D,4
