LOWZIP,HIGHZIP,TERMINAL,SERV_IN,SERV_OUT,DAYS_IN,DAYS_OUT
24836,24836,WV002,D,4,4,D
24839,24839,WV001,D,4,4,D
24843,24846,WV002,D,4,4,D
24847,24847,WV001,D,4,4,D
24848,24848,WV002,D,4,4,D
24849,24849,WV001,D,4,4,D
24850,24850,WV002,D,4,4,D
24851,24851,WV001,D,4,4,D
24853,24853,WV002,D,4,4,D
24854,24860,WV001,D,4,4,D
24861,24866,WV002,D,4,4,D
24867,24868,WV001,D,4,4,D
24869,24869,WV002,D,4,4,D
24870,24870,WV001,D,4,4,D
24871,24873,WV002,D,4,4,D
24874,24874,WV001,D,4,4,D
24878,24879,WV002,D,4,4,D
24880,24880,WV001,D,4,4,D
24881,24881,WV002,D,4,4,D
24882,24882,WV001,D,4,4,D
24884,24895,WV002,D,4,4,D
24898,24910,WV001,D,4,4,D
24915,24915,WV002,D,8,8,D
24916,24916,WV001,D,4,4,D
24918,24918,WV002,D,4,4,D
24920,24924,WV002,D,8,8,D
24925,24925,WV002,D,4,4,D
24927,24927,WV002,D,8,8,D
24931,24931,WV001,D,4,4,D
24934,24934,WV002,D,8,8,D
24935,24935,WV002,D,4,4,D
24938,24938,WV001,D,4,4,D
24941,24941,WV002,D,8,8,D
24943,24943,WV001,D,4,4,D
24944,24944,WV002,D,8,8,D
24945,24945,WV002,D,4,4,D
24946,24946,WV002,D,8,8,D
24951,24951,WV002,D,4,4,D
24954,24954,WV002,D,8,8,D
24957,24957,WV001,D,4,4,D
24962,24966,WV002,D,4,4,D
24970,24970,WV001,D,4,4,D
24974,24976,WV002,D,4,4,D
24977,24977,WV001,D,4,4,D
24981,24983,WV002,D,4,4,D
24984,24984,VA003,D,4,4,D
24985,24986,WV002,D,4,4,D
24991,25002,WV001,D,4,4,D
25003,25005,WV001,D,3,3,D
25007,25008,WV001,D,4,4,D
25009,25015,WV001,D,3,3,D
25019,25022,WV001,D,4,4,D
25024,25026,WV001,D,3,3,D
25028,25030,WV001,D,4,4,D
25031,25039,WV001,D,3,3,D
25040,25044,WV001,D,4,4,D
25045,25045,WV001,D,3,3,D
25047,25048,WV001,D,4,4,D
25049,25054,WV001,D,3,3,D
25057,25060,WV001,D,4,4,D
25061,25061,WV001,D,3,3,D
25062,25063,WV001,D,4,4,D
25064,25075,WV001,D,3,3,D
25076,25076,WV001,D,4,4,D
25079,25083,WV001,D,3,3,D
25085,25085,WV001,D,4,4,D
25086,25086,WV001,D,3,3,D
25088,25093,WV001,D,4,4,D
25102,25107,WV001,D,3,3,D
25108,25108,WV001,D,4,4,D
